"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9"
"307",307,"59","4","1","1","1","5","1","1","1","1","2","3","28","2","7","2","64","8","26","27","7","1","1","1"
"308",308,"56","56","1","1","1","2","1","4","3","3","3","2","34","2","1","2","65","41","25","23","18","2","1","1"
"309",309,"80","30","1","1","1","2","1","1","1","1","3","2","29","1","1","1","16","8","3","2","15","1","1","1"
"310",310,"24","13","1","1","1","5","1","1","1","1","2","3","60","1","1","2","39","35","54","7","35","1","1","1"
"311",311,"13","64","1","1","1","3","1","1","1","1","2","3","29","1","1","1","3","16","17","26","11","1","1","1"
"312",312,"70","69","1","1","1","2","1","1","3","3","3","2","29","1","2","5","49","9","26","10","33","1","1","1"
"313",313,"61","80","1","2","1","2","1","1","3","1","3","2","39","1","1","2","79","18","3","4","25","1","1","1"
"314",314,"8","80","1","1","1","2","1","4","1","1","3","2","31","1","1","1","46","16","11","36","50","1","1","1"
"315",315,"54","72","1","1","1","3","1","1","6","1","4","4","5","1","1","1","29","10","46","31","22","1","1","1"
"316",316,"56","6","1","1","1","1","1","3","2","4","5","1","69","1","1","2","24","47","55","43","2","1","1","1"
"317",317,"42","2","1","1","1","2","1","1","1","1","3","2","33","1","1","1","3","30","44","62","1","1","1","1"
"318",318,"22","76","1","1","1","1","1","2","5","2","1","1","29","1","1","1","49","41","5","24","11","1","1","1"
"319",319,"59","18","1","1","1","1","1","3","2","4","5","1","63","1","1","1","39","11","47","18","69","1","1","1"
"320",320,"7","23","1","1","1","5","1","1","1","1","2","3","10","1","1","1","12","4","14","14","2","1","1","1"
"321",321,"43","76","1","1","1","5","1","1","1","1","2","3","63","1","1","1","41","16","10","15","46","1","1","1"
"322",322,"8","67","1","1","1","5","1","1","1","1","2","3","66","1","1","1","23","62","45","18","23","1","1","1"
"323",323,"28","77","1","1","1","1","1","3","2","4","5","1","72","1","1","1","27","47","56","16","19","1","1","1"
"324",324,"55","36","1","1","1","5","1","1","1","1","2","3","29","1","1","1","35","36","21","27","18","1","1","1"
"325",325,"16","27","1","1","1","3","1","1","1","1","4","4","2","1","1","1","32","29","32","43","1","1","1","1"
"326",326,"70","19","1","1","1","2","1","1","1","1","2","3","66","1","1","1","14","38","16","8","47","1","1","1"
"327",327,"45","14","1","1","1","3","1","3","1","1","4","1","20","1","1","1","37","22","7","54","61","1","1","1"
"328",328,"4","55","1","1","1","3","1","1","6","1","4","4","29","1","1","1","49","52","21","49","4","1","1","1"
"329",329,"77","36","1","1","1","2","1","1","1","1","4","2","37","1","1","1","41","21","21","14","10","1","1","1"
"330",330,"45","14","1","1","1","1","1","2","4","2","1","1","5","1","1","1","16","4","34","13","46","1","1","1"
"331",331,"27","22","1","1","1","5","1","1","1","1","2","3","69","1","1","1","41","29","45","8","9","1","1","1"
"332",332,"16","35","1","1","1","1","1","3","2","4","5","1","63","1","1","1","69","67","28","16","48","1","1","1"
"333",333,"1","39","1","1","1","3","1","3","2","1","4","1","32","1","1","12","59","16","46","16","20","1","1","1"
"334",334,"68","37","1","1","1","1","1","3","2","4","5","1","16","1","1","1","27","9","7","16","23","1","1","1"
"335",335,"71","67","1","1","1","2","1","1","1","1","2","2","63","1","1","1","43","1","35","16","2","1","1","1"
"336",336,"9","16","1","1","1","4","1","5","1","1","2","3","24","1","1","11","18","38","15","55","60","1","1","1"
"337",337,"58","19","1","1","1","4","1","5","1","1","2","1","3","1","1","1","30","45","32","13","23","1","1","1"
"338",338,"42","60","1","1","1","1","1","1","1","1","2","4","8","1","1","12","46","4","34","16","28","1","1","1"
"339",339,"8","19","1","1","1","4","1","5","1","1","2","3","36","1","1","1","1","38","54","8","39","1","1","1"
"340",340,"16","58","1","1","1","1","1","2","2","2","1","1","30","1","1","1","23","37","50","13","7","1","1","1"
"341",341,"22","71","1","1","1","3","1","1","1","1","4","4","23","1","1","1","26","9","20","10","27","1","1","1"
"342",342,"33","7","1","1","1","3","1","1","1","1","4","4","37","1","1","13","16","34","27","36","43","1","1","1"
"343",343,"20","20","1","1","1","4","1","1","1","1","2","4","29","1","1","1","54","47","18","36","24","1","1","1"
"344",344,"50","41","1","1","1","4","1","5","4","1","2","1","17","1","1","2","12","5","4","8","58","1","1","1"
"345",345,"20","20","1","1","1","3","1","1","1","1","2","3","15","1","1","13","34","11","8","8","4","1","1","1"
"346",346,"61","72","1","1","1","3","1","1","1","1","4","4","55","1","1","1","43","37","43","14","21","1","1","1"
"347",347,"35","16","1","1","1","3","1","1","6","1","4","4","73","1","1","1","63","13","46","14","12","1","1","1"
"348",348,"3","19","1","1","1","3","1","1","1","1","4","4","72","1","1","1","3","4","36","16","5","1","1","1"
"349",349,"4","66","1","1","1","2","1","1","1","1","3","2","48","1","1","10","46","6","55","14","8","1","1","1"
"350",350,"49","27","1","1","1","1","1","3","2","1","5","1","5","1","1","1","8","16","22","16","26","1","1","1"
"351",351,"37","12","1","1","1","3","1","3","6","1","4","4","17","1","1","27","47","55","29","8","66","1","1","1"
"352",352,"9","20","1","1","1","1","6","3","2","4","1","1","11","1","1","2","35","5","34","14","23","1","1","1"
"353",353,"68","32","1","1","1","3","1","3","6","1","4","1","73","1","1","25","33","40","40","19","28","1","1","1"
"354",354,"67","48","1","1","1","4","1","1","1","1","2","3","9","1","1","1","22","51","32","13","36","1","1","1"
"355",355,"3","87","1","1","1","3","1","1","1","1","4","3","48","1","1","1","55","10","47","17","54","1","1","1"
"356",356,"2","16","1","1","1","1","1","2","2","2","1","1","20","1","1","1","26","40","1","29","30","1","1","1"
"357",357,"12","16","1","1","1","5","1","1","1","1","2","3","36","1","1","1","19","47","23","11","5","1","1","1"
"358",358,"69","19","1","1","1","1","1","2","2","4","1","1","2","1","1","1","30","51","3","56","5","1","1","1"
"359",359,"10","58","1","1","1","4","1","5","4","2","2","3","5","1","1","1","50","18","27","13","6","1","1","1"
