"","stations","lon","lat","address"
"375","Crawford Street, Marylebone, London, United Kingdom",-0.1602749,51.5196692,"crawford st, marylebone, london, uk"
"376","Southwark Station 2, Southwark, London, United Kingdom",-0.1049685,51.503926,"southwark station, 68-70 blackfriars rd, south bank, london se1 8jz, uk"
"377","Drayton Gardens, West Chelsea, London, United Kingdom",-0.1811994,51.4886961,"drayton gardens, chelsea, london, uk"
"378","Irene Road, Parsons Green, London, United Kingdom",-0.1975043,51.474494,"irene rd, parsons green, london sw6, uk"
"379","Taviton Street, Bloomsbury, London, United Kingdom",-0.1313834,51.5253688,"taviton st, bloomsbury, london, uk"
"380","Parkway, Camden Town, London, United Kingdom",-0.1448756,51.5378168,"parkway, camden town, london nw1, uk"
"381","Fore Street, Guildhall, London, United Kingdom",-0.0910874,51.5157925,"basinghall st, london ec2v 7hh, uk"
"382","Addison Road, Holland Park, London, United Kingdom",-0.2130437,51.5063003,"addison pl, notting hill, london w11, uk"
"383","Chapel Place, Marylebone, London, United Kingdom",-0.1466884,51.5152163,"chapel pl, marylebone, london, uk"
"384","Hibbert Street, Battersea, London, United Kingdom",-0.1804198,51.4649039,"hibbert st, battersea, london sw11, uk"
"385","Prince Consort Road, Knightsbridge, London, United Kingdom",-0.1771635,51.4998661,"prince consort rd, knightsbridge, london sw7, uk"
"386","Wardour Street, Soho, London, United Kingdom",-0.133872,51.51329,"wardour st, soho, london, uk"
"387","Farm Street, Mayfair, London, United Kingdom",-0.1484325,51.5094194,"farm st, mayfair, london, uk"
"388","Fisherman's Walk West, Canary Wharf, London, United Kingdom",-0.0206436,51.5061481,"fishermans walk, canary wharf, london e14, uk"
"389","Lavington Street, Bankside, London, United Kingdom",-0.0983272,51.5049678,"20 lavington st, london se1 0nz, uk"
"390","Alfred Place, Bloomsbury, London, United Kingdom",-0.1326898,51.5200155,"alfred pl, bloomsbury, london w1t, uk"
"391","New Cavendish Street, Marylebone, London, United Kingdom",-0.1458118,51.5195873,"new cavendish st, marylebone, london, uk"
"392","Sheepcote Lane, Battersea, London, United Kingdom",-0.1609195,51.4703819,"sheepcote ln, battersea, london sw11, uk"
"393","Leonard Circus , Shoreditch, London, United Kingdom",-0.084062,51.5246711,"leonard circus, shoreditch, london ec2a, uk"
"394","Foley Street, Fitzrovia, London, United Kingdom",-0.1395279,51.5196215,"foley st, fitzrovia, london w1w, uk"
"395","Baker Street, Marylebone, London, United Kingdom",-0.1567595,51.5205217,"baker st, marylebone, london, uk"
"396","Museum of London, Barbican, London, United Kingdom",-0.0967782,51.5176183,"150 london wall, barbican, london ec2y 5hn, uk"
"397","Newton Street, Covent Garden, London, United Kingdom",-0.1213427,51.5165733,"newton st, holborn, london, uk"
"398","Arundel Street, Temple, London, United Kingdom",-0.1143676,51.5125289,"arundel st, temple, london, uk"
"399","South Park, Sands End, London, United Kingdom",-0.1949077,51.4693849,"south park, fulham, fulham, london sw6 3eb, uk"
"400","Concert Hall Approach 2, South Bank, London, United Kingdom",-0.115533,51.504942,"2 concert hall approach, south bank, london se1 8rl, uk"
"401","Harriet Street, Knightsbridge, London, United Kingdom",-0.1589862,51.5002767,"harriet st, knightsbridge, london, uk"
"402","Simpson Street, Clapham Junction, London, United Kingdom",-0.1711353,51.4708974,"simpson st, battersea, london sw11, uk"
"403","Paddington Green, Paddington, London, United Kingdom",-0.1740351,51.5209823,"paddington green, paddington, london w2, uk"
"404","Islington Green, Angel, London, United Kingdom",-0.1028448,51.5359664,"islington green, the angel, london n1, uk"
"405","Bishop's Avenue, Fulham, London, United Kingdom",-0.2152741,51.4727136,"bishop's ave, fulham, london sw6, uk"
"406","Wells Street, Fitzrovia, London, United Kingdom",-0.1380064,51.5173705,"wells st, fitzrovia, london, uk"
"407","Fore Street Avenue, Guildhall, London, United Kingdom",-0.0910874,51.5157925,"basinghall st, london ec2v 7hh, uk"
"408","Phillimore Gardens, Kensington, London, United Kingdom",-0.1988543,51.5009167,"phillimore gardens, kensington, london w8, uk"
"409","Bouverie Street, Temple, London, United Kingdom",-0.10796,51.513359,"bouverie st, temple, london ec4y, uk"
"410","Leman Street, Aldgate, London, United Kingdom",-0.0710256,51.5143901,"15/17 leman st, whitechapel, london e1 8en, uk"
"411","Gwendwr Road, West Kensington, London, United Kingdom",-0.2095426,51.4910333,"gwendwr rd, west kensington, london w14, uk"
"412","Devonshire Terrace, Bayswater, London, United Kingdom",-0.1804244,51.5141231,"devonshire terrace, bayswater, london w2, uk"
"413","Bishop's Bridge Road West, Bayswater, London, United Kingdom",-0.183329,51.5171981,"bishop's bridge rd, bayswater, london w2, uk"
